,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
Adams Elementary School,24,24,24,39,37,29,19,26,0,0,0,0,0,0,222
Albert D Holland School of Technology,0,0,0,0,0,0,0,0,78,53,81,72,108,122,526
Alighieri Dante Montessori School,25,14,12,11,8,10,10,10,0,0,0,0,0,0,100
Another Course To College,0,0,0,0,0,0,0,0,0,0,53,68,64,59,244
Baldwin Early Learning Pilot Academy,82,37,32,0,0,0,0,0,0,0,0,0,0,0,151
Bates Elementary School,16,38,43,43,39,40,34,39,0,0,0,0,0,0,292
Beethoven Elementary School,32,71,84,88,0,0,0,0,0,0,0,0,0,0,275
Blackstone Elementary School,59,75,70,67,73,82,72,74,0,0,0,0,0,0,572
Boston Adult Tech Academy,0,0,0,0,0,0,0,0,0,0,0,0,44,78,122
Boston Arts Academy,0,0,0,0,0,0,0,0,0,0,118,131,128,113,490
Boston Collaborative High School,0,0,0,0,0,0,0,0,0,0,12,58,90,122,282
Boston International High School & Newcomers Academy,0,0,0,0,0,0,0,0,0,0,122,119,103,84,477
Boston Latin Academy,0,0,0,0,0,0,0,0,270,260,308,289,258,284,"1,669"
Boston Latin School,0,0,0,0,0,0,0,0,390,392,428,401,390,381,"2,382"
Boston Teachers Union Elementary Pilot School,16,25,30,22,26,24,22,19,10,15,0,0,0,0,209
Bradley Elementary School,30,38,39,44,41,44,30,29,0,0,0,0,0,0,295
Brighton High School,0,0,0,0,0,0,0,0,73,60,104,119,112,140,609
Carter School,2,3,0,2,0,4,2,3,2,2,6,4,4,16,50
Channing Elementary School,21,32,26,30,30,23,17,21,0,0,0,0,0,0,200
Charlestown High School,0,0,0,0,0,0,0,0,39,33,76,103,161,199,646
Chittick Elementary School,36,43,52,40,37,27,21,19,0,0,0,0,0,0,275
Clap Elementary School,11,21,21,21,18,17,15,20,0,0,0,0,0,0,144
Community Academy,0,0,0,0,0,0,0,0,0,0,0,4,8,27,39
Community Academy of Science and Health,0,0,0,0,0,0,0,0,0,0,72,72,105,107,373
Condon K-8 School,38,37,25,41,52,57,40,44,60,54,0,0,0,0,448
Conley Elementary School,18,17,19,23,17,21,21,21,0,0,0,0,0,0,157
Curley K-8 School,87,98,97,93,94,107,107,101,82,89,0,0,0,0,955
Dearborn STEM Academy,0,0,0,0,0,0,0,0,98,98,96,93,90,90,565
Dever Elementary School,0,25,30,46,42,44,44,48,0,0,0,0,0,0,279
East Boston Early Education Center,62,38,39,0,0,0,0,0,0,0,0,0,0,0,139
