"tid"	"name"	"uses"
"1608"	"Hours: Nonzero 60 Months Previous"	"2476953"
"1612"	"Plan: Legacy"	"1249960"
"1578"	"Election Type: [No Election]"	"1124778"
"1596"	"Hours: In Break"	"794001"
"1604"	"Any Recent Benefit"	"647036"
"1605"	"Any Benefit 1 Month Previous"	"623209"
"1606"	"Any Benefit 2 Month Previous"	"617281"
"1601"	"Hours: Incomplete Data"	"521843"
"1611"	"Plan: Hotel"	"468568"
"1602"	"Hours: Nonzero Three Months Previous"	"433422"
"1564"	"Benefit: Kaiser"	"433221"
"1571"	"Election Type: Single"	"422679"
"1577"	"Election Type: [No Election Type]"	"414217"
"1603"	"Hours: Eligible Three Months Previous"	"373313"
"1561"	"Benefit: Delta"	"345058"
"1600"	"Hours: Buildup Complete"	"300377"
"1573"	"Election Type: Family"	"269752"
"1572"	"Election Type: Single +1"	"254511"
"1638"	"Benefit: AD&D"	"208393"
"1566"	"Benefit: Life Insurance / AD&D"	"206755"
"1640"	"Benefit: Carelon EAP"	"180498"
"1568"	"Benefit: VSP"	"144628"
"1565"	"Benefit: Liberty"	"131045"
"1686"	"Benefit: Express Scripts"	"124168"
"1567"	"Benefit: MLK"	"83375"
"1563"	"Benefit: Health Net"	"79627"
"1641"	"Benefit: Express Scripts"	"73388"
"1642"	"Benefit: Hinge PT"	"65112"
"1639"	"Benefit: Carelon Behavioral Health"	"65076"
"1643"	"Benefit: LA Dental Center"	"63547"
"1576"	"Benefit: United Concordia"	"56815"
"1610"	"Plan: Event Center"	"49945"
"1597"	"Hours: In Break 1 Month"	"37204"
"1591"	"Hours: In Buildup"	"36986"
"1645"	"Benefit: VSP Enhanced"	"35974"
"1598"	"Hours: In Break 2 Months"	"29441"
"1644"	"Plan: Legacy Standard"	"23055"
"1599"	"Hours: In Break 3 Months"	"21125"
"1592"	"Hours: In Buildup 1 Month"	"12784"
"1594"	"Hours: In Buildup 3 Months"	"9731"
"1593"	"Hours: In Buildup 2 Months"	"9291"
"1595"	"Hours: In Buildup 4 Months"	"8599"
"1613"	"Plan: Participation Agreement"	"8357"
"1705"	"Benefit: Progyny"	"4939"
"1626"	"Status: Disability"	"3951"
"1627"	"Status: FMLA"	"3695"
"1659"	"Hours: In Break 12 Months"	"628"
"1687"	"Plan: There There Restaurant Plan"	"29"
"1698"	"Plan: Inactive"	"28"
"1651"	"Hours: In Break 4 Months"	"26"
"1656"	"Hours: In Break 9 Months"	"19"
"1653"	"Hours: In Break 6 Months"	"18"
"1657"	"Hours: In Break 10 Months"	"18"
"1655"	"Hours: In Break 8 Months"	"17"
"1658"	"Hours: In Break 11 Months"	"16"
"1652"	"Hours: In Break 5 Months"	"14"
"1654"	"Hours: In Break 7 Months"	"14"
"1574"	"Election Type: Waived"	"6"
"1569"	"Benefit: EHS"	"3"
