Loader	Reject Reason	Allow-list?
cardchecks	definition_unresolved	no
cardchecks	handler_dangling	no
n21-call-logs	handler_dangling	no
n21-call-logs	category_unmapped	no
n21-call-logs	handler_unresolved	no
n4-employee-ids	worker_unmapped	no
n4-employee-ids	employer_unmapped	no
t-bao-beneficiaries	(no rejects)	no
t-employer-policies	policy_unmapped	no
t-employer-rates	bad_rate	no
t-employer-rates	rate_conflict	no
t-policies	policy_unmatched_unreferenced	yes
t-policies	policy_ref_not_staged	no
t15-relationships	owner_has_no_worker	no
t15-relationships	alt_worker_unmapped	no
t15-relationships	relation_create_failed	no
t15-relationships	alt_contact_unmapped	no
t16-elections	end_not_after_start	yes
t16-elections	worker_unmapped	yes
t16-elections	benefit_unmapped	no
t16-elections	relation_unmapped	no
t16-elections	start_missing	no
t16-elections	worker_ref_missing	no
t16-elections	employer_ref_missing	no
t16-elections	election_type_unmapped	no
t17-benefit-history	relation_unmapped	yes
t17-benefit-history	benefit_unmapped	yes
t17-benefit-history	end_before_start	yes
t17-benefit-history	employer_unresolved	yes
t17-benefit-history	worker_unmapped	yes
t17-benefit-history	subscriber_worker_mismatch	no
t17-benefit-history	benefit_ref_missing	no
t17-benefit-history	start_missing	yes
t17-benefit-history	open_end_through_required	yes
t18-ledger	(no rejects)	
t19-payments	amount_missing	yes
t19-payments	payer_ref_missing	no
t19-payments	status_missing	no
t19-payments	account_unensured	yes
t19-payments	date_missing	no
t19-payments	payment_type_missing	no
t20-hours	(no rejects)	
t27-users	no_resolvable_worker	yes
t27-users	ambiguous_worker_email	no
t29-enrollment-packet-tags	(no rejects)	
t3t1-contacts-workers	worker_id_value_collision	yes
t3t1-contacts-workers	duplicate_email	yes
t3t1-contacts-workers	address_incomplete	yes
t3t1-contacts-workers	phone_invalid	yes
t3t1-contacts-workers	contact_no_name	yes
t3t1-contacts-workers	worker_contact_unresolved	no
t3t1-contacts-workers	ssn_collision_q36	no
t4-options	(no rejects)	
t6-member-statuses	worker_unmapped	no
t7t24-employers	duplicate_email	yes
t7t24-employers	shopcontact_no_name	yes
t7t24-employers	phone_invalid	yes
t7t24-employers	shopcontact_employer_unresolved	yes
