Region,School Name,School Hours of Operation,Teacher Start & End Time  ,Para Start & End Time   ,Nurse Start & End Time,Family Liaison Start & End Time ,Specialist Start and End Time,Notes: 
1,Adams Elementary School,"7:30am-2:10pm
Early Dismissal 11:40am",7:15-2:25,7:25-2:15,7:15-2:25,7:15-2:25,7:15-2:25,
1,Alighieri Dante Montessori School,"7:30am-2:10pm
Early Dismissal 11:40am",7:20 - 2:20,7:20 - 2:10,7:20 -2:20,8:30- 4:30,7:20 - 2:20,
1,Bradley Elementary School,"9:30am - 4:10pm
Early Dismissal 1:40pm",9:15-4:25,9:25-4:15,9:00-4:10,8:30-4:30,9:00-4:10,CLICK HERE for times specific to each staff member
1,Charlestown High School,"7:30am - 1:50pm
Early Dismissal 11:20am",7:20-2:00,7:20-2:00,7:20-2:00,7:15-3:15,7:20-2:00,Classroom paraprofessionals have a 7-hour/day contract and split days across the group of paras to support transportation at start or end of day
1,East Boston Early Education Center,"7:30am - 4:30pm
Early Dismissal 12:00pm",8:20 -2:40,"7:20 - 1:30
10:30 - 4:40",8:00 - 3:00,8:00 - 4:00,8:20 - 2:40,
1,East Boston High School,"7:30am - 1:50pm
Early Dismissal 11:20am",7:20-1:50,7:20-1:50,7:20-1:50,7:20-1:50,7:20-1:50,
1,Eliot K-8 Innovation School - Intermediate,"8:30am - 3:10pm 
Early Dismissal 12:40pm",8:15 - 3:30,8:15 - 3:15,8:15 - 3:30,7:30 - 3:30,8:15 - 3:30,
1,Eliot K-8 Innovation School - Lower,"8:30am - 3:10pm 
Early Dismissal 12:40pm",8:15 - 3:30,8:15 - 3:15,8:15 - 3:30,7:30 - 3:30,8:15 - 3:30,
1,Eliot K-8 Innovation School - Upper,"8:30am - 3:10pm 
Early Dismissal 12:40pm",8:15 - 3:30,8:15 - 3:15,8:15 - 3:30,8:00 - 4:00,8:15 - 3:30,
1,Guild Elementary School,8:30am - 3:10pm,8:20-3:30,8:20-3:10 OR 8:30-3:20,8:20-3:30,8am-4pm,8:20-3:30,Paras are emailed their specific hours prior to 8/30 & teacher hours are in our handbook emailed the third week of August. 
1,Harvard-Kent Elementary School,9:30am - 4:10pm,9:15-4:25,9:20-4:10,9:15-4:25,9:00-5:00,9:15-4:25,
1,Kennedy Patrick J Elementary School,8:30am - 3:10pm,8:15-3:25,8:15-3:15,8:15-3:25,8:15-3:25,8:15-3:25,
1,Mario Umana Academy,7:20am - 2:00pm,7:10-2:10,7:10-2:00,7:10-2:10,7:10-3:00,7:10-2:10,
1,McKay K-8 School,8:30am - 3:10pm,8:20-3:20,8:20-3:10,8:20-3:20,8:20-3:10,8:20-3:20,
1,O'Donnell Elementary School,"9:30am - 4:10pm
Early Dismissal 1:40pm",9:10-4:20,9:20-4:10,9:10-4:20,8:30-4:30,9:10-4:20,
