Type,Shops,Phone,Fax,Email,Address Line 1,City,State,Zip
Location,Alternative Education,,,,575 Warren Street,Dorchester,MA,02121
Location,Another Course to College,,,,20 Warren Street,Brighton,MA,02135
Location,Baldwin Early Learning Pilot Academy,,,,121 Corey Road,Brighton,MA,02135
Location,Bates Elementary,,,,426 Beech Street,Roslindale,MA,02131
Location,Beethoven Elementary,,,,5125 Washington Street,West Roxbury,MA,02132
Location,Blackstone Elementary,,,,380 Shawmut Avenue,Boston,MA,02118
Location,Boston Adult Technical Academy,,,,20 Church Street,Boston,MA,02116
Location,Boston Arts Academy,,,,174 Ipswich Street,Boston,MA,02215
Location,Boston Collaborative High School,,,,215 Dorchester Street,South Boston,MA,02127
Location,Boston Day & Evening Academy,,,,20 Kearsage Avenue,Roxbury,MA,02119
Location,Boston Green Academy,,,,20 Warren Street,Brighton,MA,02135
Location,Boston International Newcomers Academy,,,,100 Maxwell St,Boston,MA,02124
Location,Boston Latin Academy,,,,205 Townsend Street,Boston,MA,02121
Location,Boston Latin School,,,,78 Avenue Louis Pasteur,Boston,MA,02115
Location,Boston Teachers Union K-6,,,,25 Walk Hill Street,Jamaica Plain,MA,02130
Location,Brighton High,,,,25 Warren Street,Brighton,MA,02135
Location,Carter School,,,,396 Northampton Street,Roxbury,MA,02118
Location,Channing Elementary,,,,35 Sunnyside Street,Hyde Park,MA,02136
Location,Charlestown High,,,,240 Medford Street,Charlestown,MA,02129
Location,Chittick Elementary,,,,154 Ruskindale Road,Mattapan,MA,02126
Location,Clap Innovation Elementary,,,,35 Harvest Street,Dorchester,MA,02125
Location,Community Academy,,,,25 Glen Road,Jamaica Plain,MA,02130
Location,Community Academy of Science & Health,,,,11 Charles Street,Dorchester,MA,02122
Location,Condon Elementary,,,,200 D Street,South Boston,MA,02127
Location,Conley Elementary,,,,450 Poplar Street,Roslindale,MA,02131
Location,Curley K-8,,,,40 Pershing Road,Jamaica Plain,MA,02130
Location,Dearborn STEM Academy,,,,60 Washington Street,Dorchester,MA,02121
