@timestamp,@message,@logStream,@logGroup
2026-08-21T17:04:04.660Z,  progress t3t1-contacts-workers: done=97914/250937 (39.0%) elapsed=1860s rate=53 rows/s eta=48m27s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T17:03:04.660Z,  progress t3t1-contacts-workers: done=94779/250937 (37.8%) elapsed=1800s rate=53 rows/s eta=49m26s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T17:02:04.661Z,  progress t3t1-contacts-workers: done=91632/250937 (36.5%) elapsed=1740s rate=53 rows/s eta=50m25s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T17:01:04.660Z,  progress t3t1-contacts-workers: done=88473/250937 (35.3%) elapsed=1680s rate=53 rows/s eta=51m25s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T17:00:04.660Z,  progress t3t1-contacts-workers: done=85455/250937 (34.1%) elapsed=1620s rate=53 rows/s eta=52m17s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:59:04.659Z,  progress t3t1-contacts-workers: done=82219/250937 (32.8%) elapsed=1560s rate=53 rows/s eta=53m21s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:58:04.659Z,  progress t3t1-contacts-workers: done=79079/250937 (31.5%) elapsed=1500s rate=53 rows/s eta=54m20s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:57:04.658Z,  progress t3t1-contacts-workers: done=75983/250937 (30.3%) elapsed=1440s rate=53 rows/s eta=55m16s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:56:04.658Z,  progress t3t1-contacts-workers: done=72766/250937 (29.0%) elapsed=1380s rate=53 rows/s eta=56m19s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:55:04.658Z,  progress t3t1-contacts-workers: done=69717/250937 (27.8%) elapsed=1320s rate=53 rows/s eta=57m11s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:54:04.657Z,  progress t3t1-contacts-workers: done=66561/250937 (26.5%) elapsed=1260s rate=53 rows/s eta=58m10s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:53:04.658Z,  progress t3t1-contacts-workers: done=63431/250937 (25.3%) elapsed=1200s rate=53 rows/s eta=59m07s,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:52:04.658Z,  progress t3t1-contacts-workers: done=60134/250937 (24.0%) elapsed=1140s rate=53 rows/s eta=1h00m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:51:04.658Z,  progress t3t1-contacts-workers: done=56919/250937 (22.7%) elapsed=1080s rate=53 rows/s eta=1h01m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:50:04.657Z,  progress t3t1-contacts-workers: done=53657/250937 (21.4%) elapsed=1020s rate=53 rows/s eta=1h03m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:49:04.646Z,  progress t3t1-contacts-workers: done=50340/250937 (20.1%) elapsed=960s rate=52 rows/s eta=1h04m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:48:04.645Z,  progress t3t1-contacts-workers: done=47061/250937 (18.8%) elapsed=900s rate=52 rows/s eta=1h05m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:47:04.646Z,  progress t3t1-contacts-workers: done=43663/250937 (17.4%) elapsed=840s rate=52 rows/s eta=1h06m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
2026-08-21T16:46:04.646Z,  progress t3t1-contacts-workers: done=40397/250937 (16.1%) elapsed=780s rate=52 rows/s eta=1h08m,run/migration/96caf5e4c66e42d3b3220447ccf7361d,142403088251:/sirius-migration
