"Content","Employer","Industry","ID","External ID","Contract","Tools"
"","COMPASS/EUREST AT AA LOUNGE","Hospitality","C0591",""," 2026.03.09 - COMPASS_Eurest American Airlines CBA - 2025.09.01 - 2028.06.30 FINAL.pdf","Uploads Contacts Users AccountsWorkers"
"","CREWS OF CALIFORNIA","Hospitality","C0800",""," Crews H&W Language Arbitration Decision 7-1-2023 through 6-30-2028.pdf","Uploads Contacts Users AccountsWorkers"
"","COMPASS/EUREST AT RAYTHEON EL SEGUNDO","Hospitality","C873D",""," 2024.02.29 MOU re Santa Monica Health Benefit Fund for Compass AA Loung.pdf","Uploads Contacts Users AccountsWorkers"
"","JETWAY ","Hospitality","C0300",""," Jetway Express - CBA - 2016-2018.pdf","Uploads Contacts Users AccountsWorkers"
"","DNC ","Hospitality","C0550",""," 2023-2028 LAX- THS CBA - Executed.pdf","Uploads Contacts Users AccountsWorkers"
"","PARADIES LB ","Hospitality","C0652",""," Term Sheet for LBA and SNA CBA (signed by PLTR).pdf","Uploads Contacts Users AccountsWorkers"
"","PARADIES SNA","Hospitality","C0655",""," Term Sheet for LBA and SNA CBA (signed by PLTR).pdf","Uploads Contacts Users AccountsWorkers"
"","PARADIES - LOS ANGELES ","Hospitality","C0656",""," Paradies Lagardere LAX Benefit Allocation 7-1-2023pdf.pdf","Uploads Contacts Users AccountsWorkers"
"","HUDSON LAX","Hospitality","C0700",""," Hudson LAX Me Too Agreem_001.pdf","Uploads Contacts Users AccountsWorkers"
"","HUDSON SNA","Hospitality","C0725",""," Hudson SNA -Me Too Agree_001.pdf","Uploads Contacts Users AccountsWorkers"
"","ARAMARK AT BOEING EL SEGUNDO","Hospitality","C0870",""," Aramark Boeing El Segundo - CBA - exp.12.31.2022.pdf","Uploads Contacts Users AccountsWorkers"
"","AREAS USA ","Hospitality","C0890",""," 2024.03.26 Areas LAX- Term Sheet (Final) signed.pdf","Uploads Contacts Users AccountsWorkers"
"","HMS HOST ","Hospitality","C0891",""," Current HMS HOST CBA.pdf","Uploads Contacts Users AccountsWorkers"
"","SOCAL CONCESSIONS","Hospitality","C0950",""," Socal Concessions LAX - CBA - 2017-2018.pdf","Uploads Contacts Users AccountsWorkers"
"","FLYING FOOD GROUP  ","Restaurant","C0991","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","CONCORD COLLECTIVE PARTNERS","Hospitality","C0993",""," Concord Collective LAX - CBA - 2021-2023 CC.pdf","Uploads Contacts Users AccountsWorkers"
"","SODEXO MATTEL","Hospitality","C0835",""," 2026.02.09 Sodexo at Mattel CBA 2022.07.01 - 2027.06.30. Final.pdf","Uploads Contacts Users AccountsWorkers"
"","SODEXO at Mattel Design Center","Hospitality","C0834",""," 2026.02.09 Sodexo at Mattel CBA 2022.07.01 - 2027.06.30. Final.pdf","Uploads Contacts Users AccountsWorkers"
"","LEVY RESTAURANTS AT CRYPTO","Hospitality","C0915",""," 7.1.26 Crypto Arena - H&W Granfathered Employees from Forum.pdf","Uploads Contacts Users AccountsWorkers"
"","ARAMARK AT ANAHEIM CONVENTION CENTER","Hospitality","H0120",""," Anaheim Convention Ctr (12-31-24) CBA not signed.pdf","Uploads Contacts Users AccountsWorkers"
"","HILTON SANTA MONICA HOTEL AND SUITES","Hospitality","C0275",""," Hilton Santa Monica June 1 2022 to May 31 2027 (003).pdf","Uploads Contacts Users AccountsWorkers"
"","VICEROY SANTA MONICA","Hospitality","C0525",""," Viceroy -  MOU on Economics Plus Appendices A and B and Side Letter Executed - 4.20.24.pdf","Uploads Contacts Users AccountsWorkers"
"","FAIRMONT MIRAMAR HOTEL","Hospitality","C0101",""," Fairmont Miramar  - MOU on Economics Executed - 12.26.23.pdf","Uploads Contacts Users AccountsWorkers"
"","REGENT SANTA MONICA BEACH HOTEL","Hospitality","C0112",""," Loews Santa Monica aka Regent - Final Renovation Agreement Employer and Owner Signed - 3.24.23.pdf","Uploads Contacts Users AccountsWorkers"
"","1 HOTEL WEST HOLLYWOOD","Hospitality","C0150",""," 1 Hotel - MOU on Economics Executed - 1.11.24.pdf","Uploads Contacts Users AccountsWorkers"
"","DOUBLETREE DTLA","Hospitality","B0480",""," Doubletree DTLA - MOU on Economics Executed - 5.23.24.pdf","Uploads Contacts Users AccountsWorkers"
"","DOUBLETREE HOTEL SAN PEDRO","Hospitality","C0280",""," San Pedro Doubletree - MOU on Economics Executed - 6.5.24.pdf","Uploads Contacts Users AccountsWorkers"
"","HYATT CENTRIC DELFINA SANTA MONICA","Hospitality","C0350",""," Le Meridien Delfina -  MOU on Economics Plus Appendices A and B and Side Letter Executed - 4.20.24 (003).pdf","Uploads Contacts Users AccountsWorkers"
"","LAGUNA CLIFFS MARRIOTT RESORT & SPA","Hospitality","C0375",""," Laguna Cliffs Marriott - 2023 - 2028 CBA Executed - 1.26.24.pdf","Uploads Contacts Users AccountsWorkers"
"","HOTEL MAYA","Hospitality","C0425",""," 2023-2028 - Hotel Maya - CBA [Fully Executed].pdf","Uploads Contacts Users AccountsWorkers"
"","CAMEO BEVERLY HILLS","Hospitality","C0675",""," Copy of Mr C - CBA FINAL SIGNED Exp 6.30.24 - 10.16.21.pdf","Uploads Contacts Users AccountsWorkers"
"","SANTA MONICA PROPER HOTEL","Hospitality","C0710",""," Proper Santa Monica - MOU on Economics Executed Corrected Version - 4.14.24.pdf","Uploads Contacts Users AccountsWorkers"
"","EMBASSY SUITES IRVINE","Restaurant","C0775",""," Embassy Suites Irvine Orange County Airport - CBA 2023 to 2028 Executed - 7.27.24.pdf","Uploads Contacts Users AccountsWorkers"
"","COURTYARD MARRIOTT SANTA MONICA","Hospitality","C0810",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23.pdf","Uploads Contacts Users AccountsWorkers"
"","SHERATON GATEWAY HOTEL","Hospitality","C0825",""," Sheraton Gateway - MOU on Economics Executed - 12.21.23.pdf","Uploads Contacts Users AccountsWorkers"
"","SLS HOTEL","Hospitality","C0855",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23.pdf","Uploads Contacts Users AccountsWorkers"
"","HILTON GARDEN INN LAX/EL SEGUNDO","Restaurant","C0860",""," Hilton Garden Inn El Segundo - Economics MOU Executed - 12.31.24.pdf","Uploads Contacts Users AccountsWorkers"
"","PASADENA HILTON","Hospitality","C0865",""," Hilton Pasadena - MOU on Economics Executed - 5.23.24.pdf","Uploads Contacts Users AccountsWorkers"
"","ALOFT HOTEL AND FAIRFIELD INN EL SEGUNDO","Hospitality","C0872",""," Aloft and Fairfield - MOU on Economics Executed - 5.21.24.pdf","Uploads Contacts Users AccountsWorkers"
"","HOLIDAY INN LAX","Hospitality","C0875",""," Holiday Inn LAX -MOU on Economics Executed - 5.23.24.pdf","Uploads Contacts Users AccountsWorkers"
"","HAMPTON INN & SUITES SANTA MONICA","Hospitality","C0881",""," Hampton Inn and Suites Santa Monica - CBA Contract Settlement - MOA Fully Executed 03.23.2023.pdf","Uploads Contacts Users AccountsWorkers"
"","WESTIN LAX HOTEL","Hospitality","C0895",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23.pdf","Uploads Contacts Users AccountsWorkers"
"","SOTO & SANCHEZ","Hospitality","C0900","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","HYATT REGENCY LAX ","Hospitality","C0930",""," Hyatt Regency - MOU on Economics Executed - 6.11.24.pdf","Uploads Contacts Users AccountsWorkers"
"","JUNE HOTEL","Hospitality","C0938",""," Hotel June - MOU on Economics Executed - 4.11.24.pdf","Uploads Contacts Users AccountsWorkers"
"","W HOLLYWOOD HOTEL","Hospitality","C0980",""," W Hollywood - CBA MOU July 30 2023 to Jan 15 2028 Executed - 7.1.24.pdf","Uploads Contacts Users AccountsWorkers"
"","WESTIN LONG BEACH","Hospitality","C0995",""," Westin Long Beach - MOU on Economics Executed - 8.27.24.pdf","Uploads Contacts Users AccountsWorkers"
"","FAIRMONT CENTURY PLAZA","Hospitality","H0125",""," Fairmont Century Plaza  - Owner MOU on Growth Executed - 1.12.24.pdf","Uploads Contacts Users AccountsWorkers"
"","ANAHEIM HILTON","Hospitality","H0150",""," Anaheim Hilton - MOU on Economics Executed - 12.8.23.pdf","Uploads Contacts Users AccountsWorkers"
"","HYATT ANDAZ WEST HOLLYWOOD","Hospitality","H0175",""," Hyatt Shay Hyatt Andaz Hyatt Regency Long Beach Hyatt Centric LB - MOU on Economics Appendix A (Growth) Appendix B (Language) Side Lett.pdf","Uploads Contacts Users AccountsWorkers"
"","BALBOA BAY CLUB ","Hospitality","H0225",""," Balboa Bay Club MOU on Economics Executed - 7.4.24.pdf","Uploads Contacts Users AccountsWorkers"
"","BEVERLY HILTON ","Hospitality","H0250",""," Beverly Hilton - MOU on Economics Executed - 12.8.23.pdf","Uploads Contacts Users AccountsWorkers"
"","BEVERLY WILSHIRE HOTEL","Hospitality","H0280",""," Beverly Wilshire - Memorandum of Agreement on Economics Executed - 12.11.23.pdf","Uploads Contacts Users AccountsWorkers"
"","WESTDRIFT MANHATTAN BEACH","Hospitality","H0300",""," Westdrift - MOU on Economics Executed - 3.22.24.pdf","Uploads Contacts Users AccountsWorkers"
"","COURTYARD MARRIOTT DTLA","Hospitality","H0310",""," Marriott - MOU Economics + App A (Growth) + App B (Lang) + Side Ltrs ( Minus W Hwood) Executed - 12.15.23.pdf","Uploads Contacts Users AccountsWorkers"
"","DISNEY RESORT","Hospitality","H0325",""," 2022-2026 DLR Local 11 Final Bolded Contract 01-11-23 Signed.pdf","Uploads Contacts Users AccountsWorkers"
"","COSTA MESA HILTON (ORANGE CNTY/COSTA MESA)","Hospitality","H0350",""," Costa Mesa Hilton -MOU on Economics Executed - 12.8.23.pdf","Uploads Contacts Users AccountsWorkers"
"","MILLENNIUM BILTMORE HILTON","Hospitality","H0360",""," Millennium Biltmore - CBA - 2018-2023 - (Final)-2 2021 KPP.pdf","Uploads Contacts Users AccountsWorkers"
"","HOTEL INDIGO LOS ANGELES DOWNTOWN","Hospitality","H0375",""," INDIGO CBA.pdf","Uploads Contacts Users AccountsWorkers"
"","INTERCONTINENTAL DTLA","Hospitality","H0400",""," INTERCON CBA.pdf","Uploads Contacts Users AccountsWorkers"
"","IRVINE MARRIOTT ","Hospitality","H0425",""," Irvine Marriott Hotel - CBA - 2019-2023.pdf","Uploads Contacts Users AccountsWorkers"
"","LOEWS HOLLYWOOD HOTEL","Hospitality","H0450",""," Loews Hollywood - Side Letter on MOU on Economics Executed  - 3.21.24.pdf","Uploads Contacts Users AccountsWorkers"
