Company Rep Name,Company Rep Title,Type,Shops,Shop External ID,Phone,Personal Phone,Fax,Company Rep Email,Company Rep Address,Company Rep Address 2,Company Rep City,Company Rep State or Province,Company Rep Postal Code
,,Location,Adams Elementary,Adams Elementary,(617) 635-8383,,(617) 635-7822,adams@bostonpublicschools.org,165 Webster Street,,East Boston,MA,2128
,,Location,Alternative Education,Alternative Education,,,,,575 Warren Street,,Dorchester,,2121
,,Location,Another Course to College,Another Course to College,,,,,20 Warren Street,,Brighton,,2135
,,Location,Baldwin Early Learning Pilot Academy,Baldwin Early Learning Pilot Academy,,,,,121 Corey Road,,Brighton,,2135
,,Location,Bates Elementary,Bates Elementary,,,,,426 Beech Street,,Roslindale,,2131
,,Location,Beethoven Elementary,Beethoven Elementary,,,,,5125 Washington Street,,West Roxbury,,2132
,,Location,Blackstone Elementary,Blackstone Elementary,,,,,380 Shawmut Avenue,,Boston,,2118
,,Location,Boston Adult Technical Academy,Boston Adult Technical Academy,,,,,20 Church Street,,Boston,,2116
,,Location,Boston Arts Academy,Boston Arts Academy,,,,,174 Ipswich Street,,Boston,,2215
,,Location,Boston Collaborative High School,Boston Collaborative High School,,,,,215 Dorchester Street,,South Boston,,2127
,,Location,Boston Day & Evening Academy,Boston Day & Evening Academy,,,,,20 Kearsage Avenue,,Roxbury,,2119
,,Location,Boston Green Academy,Boston Green Academy,,,,,20 Warren Street,,Brighton,,2135
,,Location,Boston International Newcomers Academy,Boston International Newcomers Academy,,,,,100 Maxwell St,,Boston,MA,2124
,,Location,Boston Latin Academy,Boston Latin Academy,,,,,205 Townsend Street,,Boston,,2121
,,Location,Boston Latin School,Boston Latin School,,,,,78 Avenue Louis Pasteur,,Boston,,2115
,,Location,Boston Teachers Union K-6,Boston Teachers Union K-6,,,,,25 Walk Hill Street,,Jamaica Plain,,2130
,,Location,Brighton High,Brighton High,,,,,25 Warren Street,,Brighton,,2135
,,Location,Carter School,Carter School,,,,,396 Northampton Street,,Roxbury,,2118
,,Location,Channing Elementary,Channing Elementary,,,,,35 Sunnyside Street,,Hyde Park,,2136
,,Location,Charlestown High,Charlestown High,,,,,240 Medford Street,,Charlestown,,2129
,,Location,Chittick Elementary,Chittick Elementary,,,,,154 Ruskindale Road,,Mattapan,,2126
,,Location,Clap Innovation Elementary,Clap Innovation Elementary,,,,,35 Harvest Street,,Dorchester,,2125
,,Location,Community Academy,Community Academy,,,,,25 Glen Road,,Jamaica Plain,,2130
,,Location,Community Academy of Science & Health,Community Academy of Science & Health,,,,,11 Charles Street,,Dorchester,,2122
,,Location,Condon Elementary,Condon Elementary,,,,,200 D Street,,South Boston,,2127
,,Location,Conley Elementary,Conley Elementary,,,,,450 Poplar Street,,Roslindale,,2131
,,Location,Curley K-8,Curley K-8,,,,,40 Pershing Road,,Jamaica Plain,,2130
,,Location,Dearborn STEM Academy,Dearborn STEM Academy,,,,,60 Washington Street,,Dorchester,,2121
,,Location,Dever Elementary,Dever Elementary,,,,,325 Mt. Vernon Street,,Dorchester,,2125
,,Location,Dudley Street Neighborhood Charter School,Dudley Street Neighborhood Charter School,,,,,6 Shirley St,,Roxbury,,2119
,,Location,East Boston High,East Boston High,,,,,86 White Street,,East Boston,,2128
,,Location,Edison Elementary,Edison Elementary,,,,,60 Glenmont Road,,Brighton,,2135
,,Location,Ellis Elementary,Ellis Elementary,,,,,302 Walnut Avenue,,Roxbury,,2119
,,Location,Ellison-Parks Early Education School,Ellison-Parks Early Education School,,,,,108 Babson Street,,Mattapan,,2126
,,Location,English High,English High,,,,,144 Mcbride Street,,Jamaica Plain,,2130
,,Location,Everett Elementary,Everett Elementary,,,,,71 Pleasant Street,,Dorchester,,2125
,,Location,Excel High,Excel High,,,,,95 G Street,,South Boston,,2127
,,Location,Fenway High,Fenway High,,,,,67 Allegheny Street,,Roxbury,,2120
,,Location,Frederick Pilot Middle,Frederick Pilot Middle,,,,,270 Columbia Road,,Dorchester,,2121
,,Location,Gardner Pilot Academy,Gardner Pilot Academy,,,,,30 Athol Street,,Allston,,2134
,,Location,Greater Egleston High,Greater Egleston High,,,,,80 School Street,,Roxbury,,2119
,,Location,Greenwood K-8,Greenwood K-8,,,,,189 Glenway Street,,Dorchester,,2121
,,Location,Grew Elementary,Grew Elementary,,,,,40 Gordon Avenue,,Hyde Park,,2136
,,Location,Hale Elementary,Hale Elementary,,,,,51 Cedar Street,,Roxbury,,2119
,,Location,Haley Pilot K-8,Haley Pilot K-8,,,,,570 American Legion Highway,,Roslindale,,2131
,,Location,Harvard-Kent Elementary,Harvard-Kent Elementary,,,,,50 Bunker Hill Street,,Charlestown,,2129
,,Location,Haynes Early Education Center,Haynes Early Education Center,,,,,263 Blue Hill Ave,,Roxbury,,2119
,,Location,Henderson K-12 Inclusion,Henderson K-12 Inclusion,,,,,1669 Dorchester Avenue,,Dorchester,,2122
,,Location,Hennigan Elementary,Hennigan Elementary,,,,,200 Heath St,,Jamaica Plain,MA,2130
,,Location,Hernandez K-8,Hernandez K-8,,,,,61 School Street,,Roxbury,,2119
,,Location,Higginson Inclusion K0-2,Higginson Inclusion K0-2,,,,,160 Harrishof Street,,Roxbury,,2119
,,Location,Higginson-Lewis 3-8,Higginson-Lewis 3-8,,,,,131 Walnut Avenue,,Roxbury,,2119
,,Location,Holland School of Technology,Holland School of Technology,,,,,60 Washington Street,,Dorchester,,2121
,,Location,Holmes Elementary,Holmes Elementary,,,,,40 School Street,,Dorchester,,2124
,,Location,Horace Mann School for the Deaf and Hard of Hearing,Horace Mann School for the Deaf and Hard of Hearing,,,,,28 Walker St,,Charlestown,MA,2129
,,Location,Hurley K-8,Hurley K-8,,,,,70 Worcester Street,,Boston,,2118
,,Location,Kennedy JF Elementary,Kennedy JF Elementary,,,,,7 Bolster Street,,Jamaica Plain,,2130
,,Location,"Kennedy, EMK Academy for Health Careers","Kennedy, EMK Academy for Health Careers",,,,,10 Fenwood Road,,Jamaica Plain,,2115
,,Location,Kenny Elementary,Kenny Elementary,,,,,19 Oakton Avenue,,Dorchester,,2122
,,Location,Kilmer K-8,Kilmer K-8,,,,,35 Baker Street,,West Roxbury,,2132
,,Location,King K-6,King K-6,,,,,77 Lawrence Avenue,,Dorchester,,2121
,,Location,Lee Academy Pilot School,Lee Academy Pilot School,,,,,25 Dunbar Ave.,,Dorchester,,2124
,,Location,Lee K-8,Lee K-8,,,,,155 Talbot Avenue,,Dorchester,,2124
,,Location,Lyndon K-8,Lyndon K-8,,,,,20 Mt. Vernon Street,,West Roxbury,,2132
,,Location,Lyon High,Lyon High,,,,,50 Beechcroft Street,,Brighton,,2135
,,Location,Lyon K-8,Lyon K-8,,,,,95 Beechcroft Street,,Brighton,,2135
,,Location,Madison Park Technical Vocational High,Madison Park Technical Vocational High,,,,,75 Malcolm X Blvd,,Roxbury,,2120
,,Location,Manning Elementary,Manning Elementary,,,,,130 Louders Lane,,Jamaica Plain,,2130
,,Location,Mason Elementary,Mason Elementary,,,,,150 Norfolk Avenue,,Roxbury,,2119
,,Location,Mather Elementary,Mather Elementary,,,,,1 Parish Street,,Dorchester,,2122
,,Location,Mattahunt Elementary,Mattahunt Elementary,,,,,100 Hebron Street,,Mattapan,,2126
,,Location,McKay K-8,McKay K-8,,,,,122 Cottage Street,,East Boston,,2128
,,Location,Mel King South End Academies,Mel King South End Academies,,,,,90 Warren Avenue,,Boston,,2116
,,Location,Mendell Elementary,Mendell Elementary,,,,,164 School Street,,Roxbury,,2119
,,Location,Mildred Avenue K-8,Mildred Avenue K-8,,,,,5 Mildred Avenue,,Mattapan,,2126
,,Location,Mozart Elementary,Mozart Elementary,,,,,236 Beech Street,,Roslindale,,2131
,,Location,Muniz Academy,Muniz Academy,,,,,20 Child St,,Jamaica Plain,,2130
,,Location,Murphy K-8,Murphy K-8,,,,,1 Worrell Street,,Dorchester,,2122
,,Location,New Mission High,New Mission High,,,,,655 Metropolitan Ave,,Hyde Park,,2136
,,Location,O'Bryant School of Mathematics & Science,O'Bryant School of Mathematics & Science,,,,,55 Malcolm X Blvd,,Roxbury,,2120
,,Location,O'Donnell Elementary,O'Donnell Elementary,,,,,33 Trenton Street,,East Boston,,2128
,,Location,Ohrenberger School,Ohrenberger School,,,,,175 West Boundary Road,,West Roxbury,,2132
,,Location,Orchard Gardens K-8,Orchard Gardens K-8,,,,,906 Albany Street,,Roxbury,,2119
,,Location,Otis Elementary,Otis Elementary,,,,,218 Marion Street,,East Boston,,2128
,,Location,Perkins Elementary,Perkins Elementary,,,,,50 Burke Street,,South Boston,,2127
,,Location,Perry K-8,Perry K-8,,,,,745 E. Seventh Street,,South Boston,,2127
,,Location,Philbrick Elementary,Philbrick Elementary,,,,,40 Philbrick Street,,Roslindale,,2131
,,Location,Quincy Elementary,Quincy Elementary,,,,,885 Washington Street,,Boston,,2111
,,Location,Quincy Upper,Quincy Upper,,,,,152 Arlington Street,,Boston,,2116
,,Location,Roosevelt K-8,Roosevelt K-8,,,,,30 Millstone Road,,Hyde Park,,2136
,,Location,Russell Elementary,Russell Elementary,,,,,750 Columbia Road,,Dorchester,,2125
,,Location,Ruth Batson Academy,Ruth Batson Academy,,,,,655 Metropolitan Ave,,Hyde Park,,2136
,,Location,Shaw-Taylor Elementary,Shaw-Taylor Elementary,,,,,1060 Morton Street,,Mattapan,,2126
,,Location,Snowden International High,Snowden International High,,,,,150 Newbury Street,,Boston,,2116
,,Location,Sumner Elementary,Sumner Elementary,,,,,15 Basile Street,,Roslindale,,2131
,,Location,TechBoston Academy,TechBoston Academy,,,,,9 Peacevale Road,,Dorchester,,2124
,,Location,Tobin K-8,Tobin K-8,,,,,40 Smith Street,,Roxbury,,2120
,,Location,Trotter Elementary,Trotter Elementary,,,,,135 Humboldt Avenue,,Dorchester,,2121
,,Location,Tynan Elementary,Tynan Elementary,,,,,650 E. Fourth Street,,South Boston,,2127
,,Location,Umana Academy,Umana Academy,,,,,312 Border Street,,East Boston,,2128
,,Location,UP Academy Dorchester,UP Academy Dorchester,,,,,35 Westville Street,,Dorchester,,2124
,,Location,UP Academy Holland,UP Academy Holland,,,,,85 Olney Street,,Dorchester,,2121
,,Location,Warren-Prescott K-8,Warren-Prescott K-8,,,,,50 School Street,,Charlestown,,2129
,,Location,West Zone Early Learning Center,West Zone Early Learning Center,,,,,200 Heath Street,,Jamaica Plain,,2130
,,Location,Winship Elementary,Winship Elementary,,,,,54 Dighton Street,,Brighton,,2135
,,Location,Winthrop Elementary,Winthrop Elementary,,,,,35 Brookford Street,,Dorchester,,2125
,,Location,Young Achievers Science & Math K-8,Young Achievers Science & Math K-8,,,,,20 Outlook Road,,Mattapan,,2126
